plant,year,month,fin_material_id,depth,material,release_type,production_type,production_quantity,component,component_release_type,component_production_type,component_quantity
RLT_10,2024,1,10000,0,10000,FIN,8002,990.00,50000,PROD,8002.0,990.00
RLT_10,2024,1,10000,1,50000,PROD,8002,859.00,80070,PROD,8007.0,879.00
RLT_10,2024,1,10000,1,50000,PROD,8002,859.00,90000,ADD,,50.00
RLT_10,2024,1,10000,1,50000,PROD,8002,859.00,90001,ADD,,20.00
RLT_10,2024,1,10000,2,80070,PROD,8007,929.00,80010,PROD,8001.0,"3,626.00"
RLT_10,2024,1,10000,2,80070,PROD,8007,929.00,90002,ADD,,30.00
RLT_10,2024,1,10000,2,80070,PROD,8007,929.00,90003,ADD,,11.00
RLT_10,2024,1,10000,3,80010,PROD,8001,"1,726.00",80000,PROD,8000.0,"1,818.00"
RLT_10,2024,1,10000,3,80010,PROD,8001,"1,726.00",90004,ADD,,101.00
RLT_10,2024,1,10000,4,80000,PROD,8000,"1,980.00",70000,RM,,"2,668.00"
RLT_10,2024,1,10000,4,80000,PROD,8000,"1,980.00",90005,ADD,,68.00
RLT_10,2024,1,10001,0,10001,FIN,8002,975.00,50001,PROD,8002.0,975.00
RLT_10,2024,1,10001,1,50001,PROD,8002,739.00,80071,PROD,8007.0,808.00
RLT_10,2024,1,10001,1,50001,PROD,8002,739.00,90005,ADD,,49.00
RLT_10,2024,1,10001,1,50001,PROD,8002,739.00,90006,ADD,,21.00
RLT_10,2024,1,10001,2,80071,PROD,8007,897.00,80011,PROD,8001.0,"3,541.00"
RLT_10,2024,1,10001,2,80071,PROD,8007,897.00,90007,ADD,,29.00
RLT_10,2024,1,10001,2,80071,PROD,8007,897.00,90008,ADD,,11.00
RLT_10,2024,1,10001,3,80011,PROD,8001,"1,670.00",80001,PROD,8000.0,"1,909.00"
RLT_10,2024,1,10001,3,80011,PROD,8001,"1,670.00",90009,ADD,,96.00
RLT_10,2024,1,10001,4,80001,PROD,8000,"1,904.00",70001,RM,,"2,803.00"
